Name;Pago;Despacho;Moneda;Subtotal;Precio despacho;Total;Desc monto;Shipping Method;Cantidad;Producto;Precio oferta;Precio normal;SKU;status despacho;Ciudad;Codigo postal;Region
#43306;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;44990;1838072037;fulfilled;Providencia;'7500584;RM
#43305;Pagado;Despachado;CLP;19990;8290;28280;0;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;44990;1838072037;fulfilled;ConcepciÃ_n;CONCEPCIÃ“N;BI
#43304;Pagado;Despachado;CLP;29990;3990;33980;0;Despacho Region Metropolitana;1;Botin Rob Negro Police - Negro / 37;29990;;52-37;fulfilled;Pudahuel;SANTIAGO;RM
#43303;Pagado;Despachado;CLP;10980;3990;14970;0;Despacho Region Metropolitana;1;Calcetin   Premium - Verde / TamaÃ±o Ã_nico;990;3990;0006503600;fulfilled;San miguel;SANTIAGO;RM
#43303;;;;;;;;;1;Mochila Maura  Premium - Negro / TamaÃ±o Ã_nico;9990;39990;6132052000;fulfilled;;;
#43302;Pagado;Despachado;CLP;19990;3990;23980;0;Despacho Region Metropolitana;1;Bootie  Dallas  Premium - Negro / 38;19990;39990;8802072038;fulfilled;buin;BUIN;RM
#43301;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Zapatilla Montreal  Premium - Negro / 35;19990;39990;8381072035;fulfilled;Ã±uÃ±oa;SANTIAGO;RM
#43300;Pagado;Sin despacho;CLP;9990;0;9990;0;Retiro en tienda;1;Botin Valencia Negro Premium - Burdeo / 37;9990;39990;3905058537;pending;Las Condes;'170893603;RM
#43299;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Botin Toronto Negro Premium - Negro / 37;19990;49990;0100072037;fulfilled;Las Condes ;SANTIAGO;RM
#43298;Pagado;Despachado;CLP;19990;3990;23980;0;Despacho Region Metropolitana;1;Botin Toronto Negro Premium - Negro / 40;19990;49990;0100072040;fulfilled;Vitacura;SANTIAGO;RM
#43297;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Bota  Cleveland Negro Premium - Negro / 40;19990;89990;0001002040;fulfilled;San Miguel;'173338589;RM
#43296;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;49990;1003202037;fulfilled;Macul;SANTIAGO;RM
#43295;Pagado;Despachado;CLP;9990;8290;18280;0;Despacho Region;1;Zapatilla Brisbane CafÃ© Premium - Negro / 40;9990;49990;1003204040;fulfilled;Coquimbo;COQUIMBO;CO
#43294;Pagado;Despachado;CLP;29990;0;29990;0;Retiro en tienda;1;Botin Lenny Negro Police - Negro / 37;29990;;54-37;fulfilled;La Reina ;SANTIAGO;RM
#43293;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Botin Linz Animal Premium - Beige / 37;19990;49990;0037075437;fulfilled;Las condes;SANTIAGO;RM
#43292;Pagado;Despachado;CLP;29970;0;29970;0;Retiro en tienda;2;Botin Valencia Negro Premium - Burdeo / 37;9990;39990;3905058537;fulfilled;Ã‘UÃ‘OA;SANTIAGO;RM
#43292;;;;;;;;;1;Botin Valencia Negro Premium - Burdeo / 36;9990;39990;3905058536;fulfilled;;;
#43291;Pagado;Despachado;CLP;29980;0;29980;0;Retiro en tienda;1;Botin Toronto Negro Premium - Negro / 38;19990;49990;0100072038;fulfilled;Santiago;'8320000;RM
#43291;;;;;;;;;1;Botin Valencia Negro Premium - Burdeo / 36;9990;39990;3905058536;fulfilled;;;
#43290;Pagado;Despachado;CLP;19990;8290;28280;0;Despacho Region;1;Botin Toronto Negro Premium - Negro / 37;19990;49990;0100072037;fulfilled;Coltauco;RANCAGUA;LI
#43289;Pagado;Despachado;CLP;29990;8290;38280;0;Despacho Region;1;Zapatilla Angelica Negro Premium - Negro / 38;29990;;0100072038;fulfilled;Concepcion;CONCEPCION;BI
#43288;Pagado;Despachado;CLP;9990;0;9990;0;Retiro en tienda;1;Botin Valencia Negro Premium - Burdeo / 37;9990;39990;3905058537;fulfilled;Ã‘uÃ±oa;12137076K;RM
#43287;Pagado;Despachado;CLP;9990;0;9990;0;Retiro en tienda;1;Botin Valencia Negro Premium - Burdeo / 36;9990;39990;3905058536;fulfilled;Quilicura;SANTIAGO;RM
#43286;Pagado;Despachado;CLP;19990;3990;23980;0;Despacho Region Metropolitana;1;Botin Toronto Negro Premium - Negro / 37;19990;49990;0100072037;fulfilled;Ã‘uÃ±oa;SANTIAGO;RM
#43285;Pagado;Sin despacho;CLP;31984;0;31984;7996;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;39990;6001202040;pending;Condes;CONDES;RM
#43285;;;;;;;;;1;Zapatilla Brisbane Negro Premium - Negro / 39;19990;49990;1003202039;pending;;;
#43284;Pagado;Despachado;CLP;15992;0;15992;3998;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;39990;6001202040;fulfilled;Condes;CONDES;RM
#43283;Pagado;Despachado;CLP;9990;0;9990;0;Retiro en tienda;1;Botin Grecia Negro Premium - Negro / 38;9990;39990;0318072038;fulfilled;San bernardo;SANTIAGO;RM
#43282;Pagado;Despachado;CLP;19990;3990;23980;0;Despacho Region Metropolitana;1;Zapato Perugia Negro Premium - Negro / 37;19990;29990;0561052037;fulfilled;San joaquin ;SANTIAGO;RM
#43281;Pagado;Despachado;CLP;39980;3990;43970;0;Despacho Region Metropolitana;1;Zapatilla Montreal  Premium - Negro / 35;19990;39990;8381072035;fulfilled;Quilicura;SANTIAGO;RM
#43281;;;;;;;;;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;44990;1838072036;fulfilled;;;
#43280;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;44990;1838072036;fulfilled;Las Condes;SANTIAGO;RM
#43279;Pagado;Despachado;CLP;19980;0;19980;0;Retiro en tienda;1;Zapatilla Brisbane CafÃ© Premium - Negro / 38;9990;49990;1003204038;fulfilled;Independencia;'8380000;RM
#43279;;;;;;;;;1;Zapatilla Monserrat Multicolor Premium - Multicolor / 38;9990;39990;0023072938;fulfilled;;;
#43278;Pagado;Despachado;CLP;19990;8290;28280;0;Despacho Region;1;Zapatilla Brisbane Negro Premium - Negro / 36;19990;49990;1003202036;fulfilled;Concepcion;CONCEPCION;BI
#43277;Pagado;Despachado;CLP;34990;3990;38980;0;Despacho Region Metropolitana;1;Zapatilla Frankfurt Blanco Premium - Blanco / 38;34990;;1001201038;fulfilled;Providencia;'0000000;RM
#43276;Pagado;Despachado;CLP;9990;0;9990;0;Retiro en tienda;1;Botin Valencia Negro Premium - Burdeo / 37;9990;39990;3905058537;fulfilled;San bernardo;SANTIAGO;RM
#43275;Pagado;Despachado;CLP;29980;0;29980;0;Retiro en tienda;1;Botin Paris Burdeo Premium - Burdeo / 38;19990;39990;8172078538;fulfilled;Santiago;'7970000;RM
#43275;;;;;;;;;1;Botin Valencia Negro Premium - Burdeo / 36;9990;39990;3905058536;fulfilled;;;
#43274;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;44990;1838072037;fulfilled;Ã‘uÃ±ua;SANTIAGO;RM
#43273;Pagado;Despachado;CLP;29990;3990;33980;0;Despacho Region Metropolitana;1;Zapatilla Catalina Beige Premium - Beige / 36;29990;;0001284436;fulfilled;Providencia;SANTIAGO;RM
#43272;Pagado;Despachado;CLP;9990;3990;13980;0;Despacho Region Metropolitana;1;Botin Grecia Negro Premium - Negro / 37;9990;39990;0318072037;fulfilled;MaipÃº;SANTIAGO;RM
#43271;Pagado;Despachado;CLP;15992;0;15992;3998;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;39990;6001202040;fulfilled;Condes;CONDES;RM
#43270;Pagado;Despachado;CLP;31984;0;31984;7996;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 38;19990;39990;6001202038;pending;Condes;CONDES;RM
#43270;;;;;;;;;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;39990;6001202040;fulfilled;;;
#43269;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;44990;1838072037;fulfilled;Condes;CONDES;RM
#43268;Pagado;Despachado;CLP;9990;3990;13980;0;Despacho Region Metropolitana;1;Botin Valencia Negro Premium - Burdeo / 36;9990;39990;3905058536;fulfilled;providencia;SANTIAGO;RM
#43267;Pagado;Despachado;CLP;31984;0;31984;7996;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 38;19990;39990;6001202038;pending;Condes;CONDES;RM
#43267;;;;;;;;;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;39990;6001202040;fulfilled;;;
#43266;Pagado;Despachado;CLP;29990;3990;33980;0;Despacho Region Metropolitana;1;Zapatilla Shanghai Negro Premium - Negro / 36;29990;;0300072036;fulfilled;Las Condes;LASCONDES;RM
#43265;Pagado;Despachado;CLP;7992;0;7992;1998;Retiro en tienda;1;Zapatilla Brisbane CafÃ© Premium - Negro / 38;9990;49990;1003204038;fulfilled;Conces;CONDES;RM
#43264;Pagado;Despachado;CLP;31984;0;31984;7996;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 38;19990;39990;6001202038;pending;Condes;CONDES;RM
#43264;;;;;;;;;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;39990;6001202040;fulfilled;;;
#43263;Pagado;Despachado;CLP;19990;8290;28280;0;Despacho Region;1;Bota  Cleveland Negro Premium - Negro / 38;19990;89990;0001002038;fulfilled;Talca ;TALCA;ML
